id,countries,ISO_A3,y_1987,y_1988,y_1989,y_1990,y_1991,y_1992,y_1993,Y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019
195,Democratic People's Republic of Korea,PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.840772,11.556559,48.053359,20.012724,10.764254,19.100881,8,4,6,1,1,4,1
196,Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033964,0.043936,0.016371,0.032987,0.062347,0.021626,0.006618,0.005602,0.133198,0.002834,0.260739,1.187935,0.675941
197,US Virgin Islands,VIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.246349,0.478724,0.507885,0.527523,0.217887,0.296238,0.477049,2.263515,0.744131,1.980936,10.307045,0.300811,0.623071
198,Cocos Keeling Islands,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066306,0.006114,0.0312,0.109002,0.112709,0.222992,0.251506,0.321197,0.095141,0.073919,0.118614,0.091006,0.329142
199,Antarctica,ATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02448,0.019718,0.006488,0.280327,0.006318,0,0.327389,0.001024,0.003481,0.089777,0.017519,3.840223,0.318611
201,Suriname,SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375957,0.546112,1.160614,0.145773,0.335136,0.399106,0.26915,1.178832,0.448121,1.46148,1.608739,1.34537,0.205212
202,Norfolk Island,NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.063288,90.16118,85.088562,89.099722,96.03454,78.078814,87.029377,82.016791,94.072003,42.097576,0.099227,0.060095,0.163063
203,Falkland Islands,FLK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057241,0.02013,1.027622,0,1.003911,0,0.050133,0.037209,0.08995,0.032247,0.032495,1.020314,0.155751
204,Netherlands Antilles,NLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04051,2.709623,1.697339,1.51891,1.040859,1.753505,0.710699,0.590493,0.757642,0.341264,24.628233,0.396073,0.153796
205,Central African Republic,CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04738,0,0.00268,0.030023,0.010846,0.007902,15.012155,0,0.187569,0.003789,0.20063,0.010528,0.085658
206,Cabo Verde,CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01505,0.021319,0.30503,0.148807,0.734001,1.775645,0.151672,0.154465,0.258171,0.115992,0.308256,0.085774,0.07367
207,South Sudan,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001688,0.017238,0.036598,0.003138,0.045252,0.004258,0.004224,0.067272
208,Sao Tome & Principe,STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022368,0.140594,0,0.050717,0.076691,0.025107,0.095428,0.1979,0.180965,0.146325,0.09061,0.041188,0.047859
209,Turkmenistan,TKM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066895,0.017565,2.004958,3.0022,0.003354,0.003778,0,0.430914,1.232247,2.138437,2.18984,0,0.022157
210,Wallis & Futuna Island,WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021227,0.00127,0,0,0,0,0,0,0.001,0.018037,0.015693
211,Tajikistan,TJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09224,0.700696,2.034031,3.795481,3.939101,1.24328,0.001788,0.001062,0.006799,0.018057,1.014095,0.018388,0.015579
212,Gambia,GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037326,1.225813,0.080551,0.005479,0.037825,0.036963,0.05526,0.218728,0.002603,0.009321,1.020604,0.043514,0.010866
213,Comoros,COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001501,0.004107,0.021513,0.008322,0,0.216832,0.321173,0.052858,0.014679,0.03055,0.066246,0.009654
214,French Guiana,GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002506,0.00241,0.178467,0.010808,0.012231,0.58027,0.002467,0,0,0.019725,0.009083,0.006004
216,Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00336,0,0.001622,0,0,0.002032,0.001474,0,0.003206,0.002445,0.003778
217,Pitcairn Islands,PCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9868,0.899683,0.412278,0.266839,0.270847,0.189835,0.045514,0.015294,0.782918,0.014902,0.006801,0.21596,0.0028
218,French Southern Territories,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004596,0,0,0.014898,0,0.002357
219,Turks & Caicos Islands,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005274,0,0.00124,0,0.001695,0.02332,1.006333,0.177598,0.022268,0.018038,0.112051,0.03003,0.002304
220,Northern Mariana Islands,MNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061184,0.081385,0.014922,0.007135,0.001447,0,0.001755,0.039635,0.004345,0.004197,0.001021,0.013886,0.002215
221,Equatorial Guinea,GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.009842,1.055515,0.041367,1.033149,1.010984,1.007602,30.45691,35.452495,47.107795,86.642261,26.458028,0,0
223,Western Sahara,ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.001796,0.00328,0,0.005247,1.010369,0,0,0
